16,0.19311904907226562,51808
64,1.1949539184570312,53280
128,4.092931747436523,52560
256,15.527009963989258,52192
384,35.37416458129883,53072
512,61.556100845336914,53408
768,142.36807823181152,54608
1024,259.28807258605957,55296
1280,391.5109634399414,54960
1536,568.5429573059082,56848
2048,1007.9638957977295,60400
2560,1588.2270336151123,65616
3072,2198.4591484069824,71632
3584,3079.756021499634,78816
3968,3785.0418090820312,83536
16,0.2200603485107422,51536
64,1.13677978515625,52768
128,3.996133804321289,53088
256,15.625,53472
384,35.85410118103027,52976
512,62.47234344482422,53088
768,144.95587348937988,54448
1024,254.05001640319824,54848
1280,400.0551700592041,56624
1536,559.5221519470215,57488
2048,1027.6131629943848,60272
2560,1553.0798435211182,66400
3072,2199.6638774871826,71040
3584,3028.7160873413086,77760
3968,3715.785026550293,83296
