16,0.3619194030761719,52816
64,2.5169849395751953,53184
128,9.493112564086914,52480
256,37.24479675292969,51568
384,87.18681335449219,53088
512,153.5470485687256,52576
768,348.70004653930664,52208
1024,608.7350845336914,53520
1280,946.2659358978271,52192
1536,1376.0950565338135,52672
2048,2395.1637744903564,52880
2560,3724.602222442627,53184
3072,5230.1530838012695,52656
3584,7189.682960510254,52624
3968,8940.824031829834,53760
16,0.3159046173095703,52704
64,2.595186233520508,52640
128,9.994983673095703,52912
256,36.943912506103516,52496
384,89.1718864440918,53488
512,156.81004524230957,52784
768,344.40088272094727,52864
1024,619.8570728302002,52576
1280,960.5538845062256,52624
1536,1343.3680534362793,52224
2048,2428.8101196289062,52896
2560,3709.7010612487793,52368
3072,5283.984899520874,52048
3584,7172.273874282837,52560
3968,8864.644765853882,52160
